rank,Name,dfs_id,dk_salary,proj,adj_proj,p50,p75,p95,own,archetype,FRAGILITY,sensitivity_pct,sensitivity_label,mc_prob,win_pct,ceiling_delta,value,CEIL,VAL,LEV,SAFE,wave,sg_ott,sg_app,sg_arg,sg_putt,has_sg,DFS_SCORE_20MAX
1,Chris Kirk,42464076,7200,53.04,49.312999999999995,58.0,71.5,92.0,5.24,Leverage Pivot,36.9846,100.0,CORE LOCK,0.630154,0.006,38.96,7.366666666666666,85.08670520231217,98.54274014043803,85.66350710900478,74.50749948832814,PM,,,,,False,86.80440058442123
2,Tony Finau,42464069,7400,56.92,53.6865,62.0,75.0,97.5,10.71,Leverage Pivot,19.403100000000002,100.0,CORE LOCK,0.676615,0.013999999999999999,40.58,7.691891891891892,90.1734104046243,100.0,64.33649289099529,83.16789585976353,AM,-0.574,0.129,0.312,0.0,True,85.48205219664038
3,Matt Wallace,42464074,7300,53.65,50.19874999999999,59.0,72.0,94.5,6.35,Leverage Pivot,36.8615,100.0,CORE LOCK,0.631385,0.009000000000000001,40.85,7.3493150684931505,87.39884393063588,98.31063054362798,73.81516587677727,74.73695963626376,PM,,,,,False,85.02914607483828
4,Seonghyeon Kim,42464094,6900,51.71,51.49325,56.5,70.5,91.0,4.61,Leverage Pivot,38.769200000000005,100.0,CORE LOCK,0.612308,0.006,39.29,7.494202898550724,84.1618497109827,100.0,78.55450236966828,71.18097974823135,AM,,,,,False,84.66903979090651
5,Rickie Fowler,42464045,8800,64.58,54.40725,68.5,82.5,106.5,21.61,Stable Core,24.615399999999998,100.0,CORE LOCK,0.753846,0.027999999999999997,41.92,7.338636363636363,98.49710982658964,98.16778319008877,35.9004739336493,97.56386392248987,AM,,,,,False,83.9061097436502
6,Mac Meissner,42464073,7300,53.81,53.3845,59.0,72.5,95.0,6.64,Leverage Pivot,36.4154,100.0,CORE LOCK,0.635846,0.006999999999999999,41.19,7.371232876712329,87.86127167630062,98.6038216132828,66.70616113744079,75.568496370578,AM,,,,,False,83.760896448755
7,Denny McCarthy,42464051,8200,61.14,53.583,65.5,78.0,104.0,14.52,Stable Core,27.0,100.0,CORE LOCK,0.73,0.021,42.86,7.456097560975611,96.18497109826593,99.73904313298283,35.9004739336493,93.11893566280435,PM,,,,,False,82.70284799143181
8,Alex Smalley,42464063,7600,55.43,51.38225,60.5,74.0,96.0,6.89,Leverage Pivot,34.092299999999994,100.0,CORE LOCK,0.659077,0.008,40.57,7.2934210526315795,88.78612716763008,97.56294509379283,57.22748815165879,79.89878775700566,PM,,,,,False,82.30318601433132
9,J.J. Spaun,42464047,8600,61.49,53.935500000000005,66.0,79.0,102.5,11.94,Ceiling Assassin,27.0154,100.0,CORE LOCK,0.729846,0.018000000000000002,41.01,7.15,94.79768786127171,95.64442425395457,38.2701421800948,93.09022984413491,PM,,,,,False,81.76066481876346
10,Will Zalatoris,42464061,7600,54.73,53.88725,60.0,72.5,95.0,5.93,Punt/Fragile Value,34.9231,100.0,CORE LOCK,0.650769,0.01,40.27,7.201315789473684,87.86127167630062,96.33086749022696,57.22748815165879,78.35016476021512,AM,,,,,False,81.44236864560567
11,Stephan Jaeger,42464068,7400,56.64,52.375499999999995,62.0,75.0,98.5,9.3,Value Stabilizer,33.2923,100.0,CORE LOCK,0.667077,0.012,41.86,7.654054054054054,91.09826589595379,100.0,45.37914691943129,81.38999911645732,PM,,,,,False,81.27917535290923
12,Billy Horschel,42464101,6800,51.67,48.86775,56.5,71.0,92.5,5.07,Leverage Pivot,39.46150000000001,100.0,CORE LOCK,0.605385,0.006,40.83,7.598529411764706,85.54913294797691,100.0,61.96682464454979,69.89052271804587,PM,,,,,False,81.26877345974272
13,Max McGreevy,42464070,7400,52.18,51.98725,57.0,71.0,92.0,4.75,Punt/Fragile Value,38.6154,100.0,CORE LOCK,0.613846,0.008,39.82,7.051351351351351,85.08670520231217,94.32481681291532,66.70616113744079,71.46766513208594,AM,,,,,False,81.12108941259504
14,Maverick McNealy,42464043,9000,64.88,55.131,69.0,82.0,107.0,20.44,Stable Core,24.323099999999997,100.0,CORE LOCK,0.756769,0.028999999999999998,42.120000000000005,7.208888888888889,98.95953757225438,96.43217164874238,24.052132701421808,98.10871527294951,AM,,,,,False,81.06420704988061
15,Ryo Hisatsune,42464050,8300,59.71,55.9395,64.5,77.5,101.5,11.52,Ceiling Assassin,29.738500000000002,100.0,CORE LOCK,0.702615,0.02,41.79,7.193975903614457,93.87283236994224,96.2326829927311,38.2701421800948,88.01433277798141,AM,,,,,False,80.84177581633597
16,Mackenzie Hughes,42464084,7100,51.46,48.287,56.5,70.5,90.5,4.16,Leverage Pivot,39.4923,100.0,CORE LOCK,0.605077,0.005,39.04,7.2478873239436625,83.69942196531795,96.95384757428351,64.33649289099529,69.833111080707,PM,,,,,False,80.35930149719674
17,Andrew Novak,42464075,7300,54.51,53.711999999999996,60.0,72.62,94.5,5.34,Value Stabilizer,35.2615,100.0,CORE LOCK,0.647385,0.009000000000000001,39.99,7.467123287671233,87.39884393063588,99.88653254302258,50.11848341232229,77.71938235516707,AM,,,,,False,80.31332250133788
18,Jordan L. Smith,42464059,7700,55.85,51.739999999999995,61.0,74.5,96.5,6.74,Punt/Fragile Value,34.538500000000006,100.0,CORE LOCK,0.654615,0.012,40.65,7.253246753246753,89.24855491329483,97.02553981624489,47.7488151658768,79.06706462127148,PM,,,,,False,80.09095771207464
19,Keith Mitchell,42464048,8500,61.89,53.763,66.5,79.5,104.0,15.15,Stable Core,27.3385,100.0,CORE LOCK,0.726615,0.023,42.11,7.281176470588235,96.18497109826593,97.39915124767171,26.421800947867307,92.48796685633637,PM,,,,,False,79.92595104509267
20,Sepp Straka,42464041,9200,64.77,56.309,68.5,81.5,108.0,14.95,Stable Core,24.2154,100.0,CORE LOCK,0.757846,0.033,43.230000000000004,7.040217391304348,99.88439306358386,94.17587958237516,19.31279620853081,98.3094696022157,PM,,,,,False,79.89231277107788
21,Lee Hodges,42464093,6900,51.19,48.1905,56.0,70.0,90.5,3.96,Leverage Pivot,39.553799999999995,100.0,CORE LOCK,0.604462,0.006,39.31,7.418840579710144,83.69942196531795,99.24066236059458,59.59715639810429,69.71847420744916,PM,,,,,False,79.75745056329671
22,Hideki Matsuyama,42464040,9300,67.22,55.538999999999994,70.5,85.0,111.0,25.36,Stable Core,25.582773722627735,100.0,CORE LOCK,0.778,0.038,43.78,7.2279569892473114,100.0,96.68724262502182,14.573459715639817,100.0,AM,-0.08,0.79,-0.08,0.42,True,79.62308911210197
