rank,Name,dfs_id,dk_salary,proj,adj_proj,p50,p75,p95,own,archetype,FRAGILITY,sensitivity_pct,sensitivity_label,mc_prob,win_pct,ceiling_delta,value,CEIL,VAL,LEV,SAFE,wave,sg_ott,sg_app,sg_arg,sg_putt,has_sg,DFS_SCORE_SE
1,Christiaan Bezuidenhout,42464072,7300,54.78,58.073499999999996,60.0,73.5,95.5,11.37,Leverage Pivot,35.13849999999999,100.0,CORE LOCK,0.648615,0.01,40.72,7.5041095890410965,88.32369942196536,100.0,85.66350710900478,77.94865610168277,AM,,,,,False,88.71553320921421
2,Beau Hossler,42464098,6800,51.79,54.402750000000005,57.0,70.5,91.0,5.09,Leverage Pivot,38.5692,100.0,CORE LOCK,0.614308,0.005,39.21,7.616176470588235,84.1618497109827,100.0,100.0,71.55378258809428,PM,,,,,False,88.29225940779229
3,Austin Smotherman,42464085,7000,51.72,56.45575,56.5,70.5,91.5,5.87,Leverage Pivot,39.153800000000004,100.0,CORE LOCK,0.608462,0.006999999999999999,39.78,7.388571428571429,84.62427745664743,98.835756691599,100.0,70.46407988717498,AM,,,,,False,87.95898058386076
4,Rickie Fowler,42464045,8800,64.58,63.606750000000005,68.5,82.5,106.5,21.61,Stable Core,24.615399999999998,100.0,CORE LOCK,0.753846,0.027999999999999997,41.92,7.338636363636363,98.49710982658964,98.16778319008877,35.9004739336493,97.56386392248987,AM,,,,,False,87.58670088484462
5,Tony Finau,42464069,7400,56.92,59.94950000000001,62.0,75.0,97.5,10.71,Leverage Pivot,19.403100000000002,100.0,CORE LOCK,0.676615,0.013999999999999999,40.58,7.691891891891892,90.1734104046243,100.0,64.33649289099529,83.16789585976353,AM,-0.574,0.129,0.312,0.0,True,86.83667891717914
6,Chris Kirk,42464076,7200,53.04,55.379,58.0,71.5,92.0,5.24,Leverage Pivot,36.9846,100.0,CORE LOCK,0.630154,0.006,38.96,7.366666666666666,85.08670520231217,98.54274014043803,85.66350710900478,74.50749948832814,PM,,,,,False,86.43292911818457
7,Vince Whaley,42464103,6700,50.08,54.93125,55.0,68.5,89.0,4.17,Leverage Pivot,40.7538,100.0,CORE LOCK,0.592462,0.005,38.92,7.474626865671642,82.31213872832373,99.9869067245182,97.51184834123227,67.48165716827168,AM,,,,,False,86.34868504955638
8,Denny McCarthy,42464051,8200,61.14,61.649,65.5,78.0,104.0,14.52,Stable Core,27.0,100.0,CORE LOCK,0.73,0.021,42.86,7.456097560975611,96.18497109826593,99.73904313298283,35.9004739336493,93.11893566280435,PM,,,,,False,86.21191750186802
9,Maverick McNealy,42464043,9000,64.88,64.18499999999999,69.0,82.0,107.0,20.44,Stable Core,24.323099999999997,100.0,CORE LOCK,0.756769,0.028999999999999998,42.120000000000005,7.208888888888889,98.95953757225438,96.43217164874238,24.052132701421808,98.10871527294951,AM,,,,,False,85.42327280347386
10,Matt Wallace,42464074,7300,53.65,56.38125,59.0,72.0,94.5,6.35,Leverage Pivot,36.8615,100.0,CORE LOCK,0.631385,0.009000000000000001,40.85,7.3493150684931505,87.39884393063588,98.31063054362798,73.81516587677727,74.73695963626376,PM,,,,,False,85.28518845585351
11,J.T. Poston,42464067,7400,53.15,57.838499999999996,58.5,72.0,93.5,5.92,Punt/Fragile Value,37.153800000000004,100.0,CORE LOCK,0.628462,0.008,40.35,7.182432432432432,86.4739884393064,96.07826779621405,78.55450236966828,74.19210828580411,AM,,,,,False,85.07236961599438
12,J.J. Spaun,42464047,8600,61.49,61.77850000000001,66.0,79.0,102.5,11.94,Stable Core,27.0154,100.0,CORE LOCK,0.729846,0.018000000000000002,41.01,7.15,94.79768786127171,95.64442425395457,38.2701421800948,93.09022984413491,PM,,,,,False,85.058197590215
13,Hideki Matsuyama,42464040,9300,67.22,65.565,70.5,85.0,111.0,25.36,Stable Core,25.582773722627735,100.0,CORE LOCK,0.778,0.038,43.78,7.2279569892473114,100.0,96.68724262502182,14.573459715639817,100.0,AM,-0.08,0.79,-0.08,0.42,True,84.64929880791423
14,Seonghyeon Kim,42464094,6900,51.71,56.39475,56.5,70.5,91.0,4.61,Leverage Pivot,38.769200000000005,100.0,CORE LOCK,0.612308,0.006,39.29,7.494202898550724,84.1618497109827,100.0,78.55450236966828,71.18097974823135,AM,,,,,False,84.5719642426633
15,Mac Meissner,42464073,7300,53.81,58.597500000000004,59.0,72.5,95.0,6.64,Leverage Pivot,36.4154,100.0,CORE LOCK,0.635846,0.006999999999999999,41.19,7.371232876712329,87.86127167630062,98.6038216132828,66.70616113744079,75.568496370578,AM,,,,,False,84.49198530779547
16,Adrien Dumont De Chassart,42464082,7100,49.63,54.551750000000006,54.5,68.5,88.5,3.93,Punt/Fragile Value,42.1385,100.0,CORE LOCK,0.578615,0.006,38.87,6.990140845070424,81.84971098265899,93.5060135078059,100.0,64.9005567064808,AM,,,,,False,84.45950489165806
17,Sepp Straka,42464041,9200,64.77,64.781,68.5,81.5,108.0,14.95,Stable Core,24.2154,100.0,CORE LOCK,0.757846,0.033,43.230000000000004,7.040217391304348,99.88439306358386,94.17587958237516,19.31279620853081,98.3094696022157,PM,,,,,False,84.44510853564904
18,Keith Mitchell,42464048,8500,61.89,61.967000000000006,66.5,79.5,104.0,15.15,Stable Core,27.3385,100.0,CORE LOCK,0.726615,0.023,42.11,7.281176470588235,96.18497109826593,97.39915124767171,26.421800947867307,92.48796685633637,PM,,,,,False,83.8893763616637
19,Ryo Hisatsune,42464050,8300,59.71,62.56250000000001,64.5,77.5,101.5,11.52,Stable Core,29.738500000000002,100.0,CORE LOCK,0.702615,0.02,41.79,7.193975903614457,93.87283236994224,96.2326829927311,38.2701421800948,88.01433277798141,AM,,,,,False,83.83863777497322
20,Alex Smalley,42464063,7600,55.43,57.76975,60.5,74.0,96.0,6.89,Punt/Fragile Value,34.092299999999994,100.0,CORE LOCK,0.659077,0.008,40.57,7.2934210526315795,88.78612716763008,97.56294509379283,57.22748815165879,79.89878775700566,PM,,,,,False,83.83789513433078
21,Michael Thorbjornsen,42464044,8900,62.92,65.6585,67.5,80.5,106.5,12.65,Stable Core,26.338499999999996,100.0,CORE LOCK,0.736615,0.027999999999999997,43.58,7.069662921348314,98.49710982658964,94.56976780166293,21.682464454976312,94.35198105565094,AM,,,,,False,83.62775885299595
22,Stephan Jaeger,42464068,7400,56.64,59.0045,62.0,75.0,98.5,9.3,Value Stabilizer,33.2923,100.0,CORE LOCK,0.667077,0.012,41.86,7.654054054054054,91.09826589595379,100.0,45.37914691943129,81.38999911645732,PM,,,,,False,83.60979584005723
23,Jordan Spieth,42464038,9500,68.82,64.4375,71.5,86.0,113.0,28.06,Stable Core,20.399999999999995,100.0,CORE LOCK,0.796,0.042,44.18000000000001,7.244210526315789,100.0,96.9046636313162,7.46445497630332,100.0,PM,,,,,False,83.49512325380061
24,Will Zalatoris,42464061,7600,54.73,59.15675,60.0,72.5,95.0,5.93,Punt/Fragile Value,34.9231,100.0,CORE LOCK,0.650769,0.01,40.27,7.201315789473684,87.86127167630062,96.33086749022696,57.22748815165879,78.35016476021512,AM,,,,,False,82.86870604737601
25,Andrew Novak,42464075,7300,54.51,58.93,60.0,72.62,94.5,5.34,Value Stabilizer,35.2615,100.0,CORE LOCK,0.647385,0.009000000000000001,39.99,7.467123287671233,87.39884393063588,99.88653254302258,50.11848341232229,77.71938235516707,AM,,,,,False,82.24721248052549
26,Si Woo Kim,42464037,9600,67.09,68.15299999999999,70.5,84.0,110.5,19.31,Stable Core,22.199999999999996,100.0,CORE LOCK,0.778,0.036000000000000004,43.41,6.988541666666667,100.0,93.4846215500847,5.094786729857821,100.0,AM,,,,,False,82.237269131597
27,Nick Taylor,42464054,8000,57.98,59.9935,63.0,76.0,99.0,7.94,Stable Core,31.200000000000006,100.0,CORE LOCK,0.688,0.013999999999999999,41.02,7.2475,91.56069364161853,96.94866640287213,35.9004739336493,85.29007602568316,PM,,,,,False,82.19132595839008
28,Jordan L. Smith,42464059,7700,55.85,58.162000000000006,61.0,74.5,96.5,6.74,Punt/Fragile Value,34.538500000000006,100.0,CORE LOCK,0.654615,0.012,40.65,7.253246753246753,89.24855491329483,97.02553981624489,47.7488151658768,79.06706462127148,PM,,,,,False,82.1015473235666
29,Billy Horschel,42464101,6800,51.67,54.788250000000005,56.5,71.0,92.5,5.07,Leverage Pivot,39.46150000000001,100.0,CORE LOCK,0.605385,0.006,40.83,7.598529411764706,85.54913294797691,100.0,61.96682464454979,69.89052271804587,PM,,,,,False,82.02113525341387
30,Andrew Putnam,42464102,6800,47.2,50.46750000000001,50.5,66.5,86.0,3.9,Punt/Fragile Value,46.0,100.0,CORE LOCK,0.54,0.004,38.8,6.9411764705882355,79.53757225433529,92.85102477965151,100.0,57.702665875827606,PM,,,,,False,81.9775668267258
31,Russell Henley,42464036,9800,69.15,65.915,72.0,86.5,113.0,22.3,Stable Core,27.477911067961166,100.0,CORE LOCK,0.794462,0.044000000000000004,43.849999999999994,7.0561224489795915,100.0,94.38863903469328,0.0,100.0,PM,0.31,0.66,0.31,0.78,True,81.59715975867331
32,Max McGreevy,42464070,7400,52.18,56.94275,57.0,71.0,92.0,4.75,Punt/Fragile Value,38.6154,100.0,CORE LOCK,0.613846,0.008,39.82,7.051351351351351,85.08670520231217,94.32481681291532,66.70616113744079,71.46766513208594,AM,,,,,False,81.54773259988959
33,Ludvig Aberg,42464034,10100,70.41,66.61325,73.5,87.5,114.0,23.61,Stable Core,19.5692,100.0,CORE LOCK,0.804308,0.046,43.59,6.971287128712871,100.0,93.25381031255198,0.0,100.0,PM,,,,,False,81.313452578138
34,Sudarshan Yellamaraju,42464052,8100,58.14,61.98850000000001,63.0,76.0,99.0,9.18,Stable Core,31.015400000000003,100.0,CORE LOCK,0.689846,0.013999999999999999,40.86,7.177777777777778,91.56069364161853,96.01600321376014,31.161137440758303,85.63417304687664,AM,,,,,False,81.2212923615593
35,Robert MacIntyre,42464035,9900,68.51,67.153,72.0,86.0,111.52,19.89,Stable Core,21.507699999999996,100.0,CORE LOCK,0.784923,0.042,43.00999999999999,6.92020202020202,100.0,92.57045285919936,0.35545023696682354,100.0,PM,,,,,False,81.2030397550842
36,Marco Penge,42464058,7800,56.31,60.847,61.5,74.5,98.5,8.98,Punt/Fragile Value,33.446200000000005,100.0,CORE LOCK,0.665538,0.013999999999999999,42.19,7.219230769230769,91.09826589595379,96.5705133537777,35.9004739336493,81.10312733118279,AM,,,,,False,81.0836754138638
37,Mackenzie Hughes,42464084,7100,51.46,54.141000000000005,56.5,70.5,90.5,4.16,Leverage Pivot,39.4923,100.0,CORE LOCK,0.605077,0.005,39.04,7.2478873239436625,83.69942196531795,96.95384757428351,64.33649289099529,69.833111080707,PM,,,,,False,80.9480682480023
38,Lee Hodges,42464093,6900,51.19,54.00750000000001,56.0,70.0,90.5,3.96,Punt/Fragile Value,39.553799999999995,100.0,CORE LOCK,0.604462,0.006,39.31,7.418840579710144,83.69942196531795,99.24066236059458,59.59715639810429,69.71847420744916,PM,,,,,False,80.69115736613703
39,Tommy Fleetwood,42464033,10500,71.18,69.5325,74.0,88.5,114.52,22.1,Stable Core,13.578857477554507,100.0,CORE LOCK,0.816154,0.049,43.33999999999999,6.77904761904762,100.0,90.68225265929387,0.0,100.0,AM,0.596,0.599,0.995,-0.149,True,80.67056316482346
40,Patrick Rodgers,42464066,7500,53.36,57.60225,58.5,72.0,92.0,4.61,Punt/Fragile Value,36.3077,100.0,CORE LOCK,0.636923,0.005,38.64,7.1146666666666665,85.08670520231217,95.17177581708188,54.85781990521329,75.76925069984416,AM,,,,,False,80.6055714550042
41,Max Homa,42464086,7000,52.65,57.65050000000001,57.5,71.5,93.5,4.76,Punt/Fragile Value,38.0,100.0,CORE LOCK,0.62,0.01,40.85,7.521428571428571,86.4739884393064,100.0,45.37914691943129,72.61477947034413,AM,,,,,False,80.09752647730858
42,John Keefer,42464053,8000,58.11,60.70175,63.0,76.0,101.0,7.45,Punt/Fragile Value,31.338500000000003,100.0,CORE LOCK,0.686615,0.016,42.89,7.26375,93.4104046242775,97.1660400943584,19.31279620853081,85.0319100590781,PM,,,,,False,80.0770211480809
43,Alex Noren,42464046,8700,60.61,63.789500000000004,65.5,79.0,103.5,10.64,Stable Core,28.953799999999998,100.0,CORE LOCK,0.710462,0.02,42.89,6.966666666666667,95.72254335260119,93.19200311923778,14.573459715639817,89.47702472018356,AM,,,,,False,80.04546034949337
44,Zecheng Dou,42464083,7100,49.0,52.26525,53.0,68.0,88.5,3.13,Punt/Fragile Value,43.061499999999995,100.0,CORE LOCK,0.569385,0.005,39.5,6.901408450704226,81.84971098265899,92.3190542390185,69.07582938388627,63.180071600513465,PM,,,,,False,78.5615590485284
45,Steven Fisk,42464106,6700,49.48,52.42425000000001,54.0,68.5,88.02,2.61,Punt/Fragile Value,41.6462,100.0,CORE LOCK,0.583538,0.004,38.54,7.385074626865671,81.40578034682083,98.78898052574202,57.22748815165879,65.81821089680336,PM,,,,,False,78.5237568283701
46,Eric Cole,42464091,6900,50.42,53.866749999999996,55.0,69.5,91.5,4.19,Punt/Fragile Value,41.6615,100.0,CORE LOCK,0.583385,0.006999999999999999,41.08,7.3072463768115945,84.62427745664743,97.74788427859308,50.11848341232229,65.78969147955385,PM,,,,,False,78.27227697917985
47,Thorbjorn Olesen,42464057,7800,56.75,61.41375,61.5,75.5,99.5,8.65,Punt/Fragile Value,33.707699999999996,100.0,CORE LOCK,0.662923,0.017,42.75,7.2756410256410255,92.02312138728327,97.32510447215209,14.573459715639817,80.61568761806205,AM,,,,,False,77.90068792047684
48,Kristoffer Reitan,42464081,7100,49.19,52.3735,54.0,68.0,88.5,3.08,Punt/Fragile Value,42.969199999999994,100.0,CORE LOCK,0.570308,0.006,39.31,6.928169014084507,81.84971098265899,92.67702608198613,64.33649289099529,63.352120111110196,PM,,,,,False,77.87977450759819
49,Joel Dahmen,42474773,6600,47.69,52.868249999999996,51.5,67.0,86.0,2.15,Punt/Fragile Value,44.7846,100.0,CORE LOCK,0.552154,0.004,38.31,7.225757575757576,79.53757225433529,96.65782141706067,66.70616113744079,59.96818873367453,AM,,,,,False,77.72241795101242
50,Michael Kim,42464092,6900,50.51,55.125,56.0,69.5,88.5,2.74,Punt/Fragile Value,40.4923,100.0,CORE LOCK,0.595077,0.004,37.99,7.320289855072463,81.84971098265899,97.92236483363222,50.11848341232229,67.96909688139243,AM,,,,,False,77.69744293819176
51,Taylor Moore,42474776,6900,50.49,55.2385,55.5,69.0,89.02,3.16,Punt/Fragile Value,40.5077,100.0,CORE LOCK,0.594923,0.004,38.529999999999994,7.317391304347826,82.33063583815031,97.88359137695684,47.7488151658768,67.940391062723,AM,,,,,False,77.46191625347998
52,John Parry,42464079,7200,49.55,52.585750000000004,54.0,68.5,88.5,2.89,Punt/Fragile Value,41.923100000000005,100.0,CORE LOCK,0.580769,0.006,38.95,6.881944444444444,81.84971098265899,92.05868729183078,59.59715639810429,65.30206536501315,PM,,,,,False,77.30949165704847
53,Brian Harman,42464056,7900,55.91,58.558,60.5,74.12,97.5,5.9,Punt/Fragile Value,33.5692,100.0,CORE LOCK,0.664308,0.012,41.59,7.077215189873417,90.1734104046243,94.67079330864124,16.943127962085313,80.87385358466712,PM,,,,,False,76.98869675140547
54,Bronson Burgoon,42464115,6600,48.06,53.362,52.0,67.0,87.0,2.28,Punt/Fragile Value,44.553799999999995,100.0,CORE LOCK,0.554462,0.003,38.94,7.281818181818182,80.46242774566477,97.4077353177592,52.48815165876779,60.398403210876324,AM,,,,,False,75.93032279695821
55,William Mouw,42464087,7000,50.16,55.324,55.0,69.0,90.0,3.52,Punt/Fragile Value,40.98460000000001,100.0,CORE LOCK,0.590154,0.005,39.84,7.1657142857142855,83.23699421965321,95.85463177978744,38.2701421800948,67.05144269106987,AM,,,,,False,75.50992845724517
56,Matthew McCarty,42464071,7400,52.24,54.74400000000001,57.5,71.0,91.0,3.84,Punt/Fragile Value,38.4,100.0,CORE LOCK,0.616,0.008,38.76,7.059459459459459,84.1618497109827,94.43327769848018,28.791469194312807,71.8691737906183,PM,,,,,False,74.8582068359503
57,Emiliano Grillo,42464108,6700,47.52,52.800250000000005,51.0,67.0,86.0,1.81,Punt/Fragile Value,44.8308,100.0,CORE LOCK,0.551692,0.004,38.48,7.092537313432836,79.53757225433529,94.8757549430732,52.48815165876779,59.882071277666185,AM,,,,,False,74.84261622993948
