Name,dfs_id,dk_salary,proj,p95,own,mc_prob,value,wave,CEIL,VAL,LEV,SAFE,DFS_SCORE_SE,kill_SE,kill_reason_SE,DFS_SCORE_3MAX,kill_3MAX,kill_reason_3MAX,DFS_SCORE_20MAX,kill_20MAX,kill_reason_20MAX,DFS_SCORE_150MAX,kill_150MAX,kill_reason_150MAX
Tommy Fleetwood,42464033,10500,71.18,114.52,22.1,0.816154,6.77904761904762,AM,100.0,90.68225265929387,0.0,100.0,80.67056316482346,False,,77.67056316482346,False,,74.95009558504465,False,,73.13645053185877,False,
Ludvig Aberg,42464034,10100,70.41,114.0,23.61,0.804308,6.971287128712871,PM,100.0,93.25381031255198,0.0,100.0,81.313452578138,False,,78.313452578138,False,,75.51583826876143,False,,73.6507620625104,False,
Russell Henley,42464036,9800,69.15,113.0,22.3,0.794462,7.0561224489795915,PM,100.0,94.38863903469328,0.0,100.0,81.59715975867331,False,,78.59715975867331,False,,75.76550058763252,False,,73.87772780693865,False,
Jordan Spieth,42464038,9500,68.82,113.0,28.06,0.796,7.244210526315789,PM,100.0,96.9046636313162,7.46445497630332,100.0,83.49512325380061,False,,80.71905690308972,False,,78.03585064343933,False,,76.24704647033907,False,
Robert MacIntyre,42464035,9900,68.51,111.52,19.89,0.784923,6.92020202020202,PM,100.0,92.57045285919936,0.35545023696682354,100.0,81.2030397550842,False,,78.2137032621932,False,,75.44725318352623,False,,73.60295313108158,False,
Hideki Matsuyama,42464040,9300,67.22,111.0,25.36,0.778,7.2279569892473114,AM,100.0,96.68724262502182,14.573459715639817,100.0,84.64929880791423,False,,82.08650259938342,False,,79.62308911210197,False,,77.98081345391432,False,
Si Woo Kim,42464037,9600,67.09,110.5,19.31,0.778,6.988541666666667,AM,100.0,93.4846215500847,5.094786729857821,100.0,82.237269131597,False,,79.39011273349273,False,,76.73841768888593,False,,74.9706209924814,False,
Maverick McNealy,42464043,9000,64.88,107.0,20.44,0.756769,7.208888888888889,AM,98.95953757225438,96.43217164874238,24.052132701421808,98.10871527294951,85.42327280347386,False,,83.21859177231414,False,,81.06420704988061,False,,79.64213093991334,False,
Sepp Straka,42464041,9200,64.77,108.0,14.95,0.757846,7.040217391304348,PM,99.88439306358386,94.17587958237516,19.31279620853081,98.3094696022157,84.44510853564904,False,,82.10670680306586,False,,79.89231277107788,False,,78.44229880744204,False,
Rickie Fowler,42464045,8800,64.58,106.5,21.61,0.753846,7.338636363636363,AM,98.49710982658964,98.16778319008877,35.9004739336493,97.56386392248987,87.58670088484462,False,,85.75546410326139,False,,83.9061097436502,False,,82.68876093564441,False,
Michael Thorbjornsen,42464044,8900,62.92,106.5,12.65,0.736615,7.069662921348314,AM,98.49710982658964,94.56976780166293,21.682464454976312,94.35198105565094,83.62775885299595,False,,81.53057593039449,False,,79.42685940541266,False,,78.0934672016071,False,
Keith Mitchell,42464048,8500,61.89,104.0,15.15,0.726615,7.281176470588235,PM,96.18497109826593,97.39915124767171,26.421800947867307,92.48796685633637,83.8893763616637,False,,81.98133146924822,False,,79.92595104509267,False,,78.61731416635448,False,
J.J. Spaun,42464047,8600,61.49,102.5,11.94,0.729846,7.15,PM,94.79768786127171,95.64442425395457,38.2701421800948,93.09022984413491,85.058197590215,False,,83.44774412063653,False,,81.76066481876346,False,,80.66440291780037,False,
Denny McCarthy,42464051,8200,61.14,104.0,14.52,0.73,7.456097560975611,PM,96.18497109826593,99.73904313298283,35.9004739336493,93.11893566280435,86.21191750186802,False,,84.5566843587026,False,,82.70284799143181,False,,81.518057670509,False,
Alex Noren,42464046,8700,60.61,103.5,10.64,0.710462,6.966666666666667,AM,95.72254335260119,93.19200311923778,14.573459715639817,89.47702472018356,80.04546034949337,False,,77.92326377200541,False,,75.68961784254584,False,,74.3046125334464,False,
Ryo Hisatsune,42464050,8300,59.71,101.5,11.52,0.702615,7.193975903614457,AM,93.87283236994224,96.2326829927311,38.2701421800948,88.01433277798141,83.83863777497322,False,,82.46348204887585,False,,80.84177581633597,False,,79.85827998784207,False,
Sudarshan Yellamaraju,42464052,8100,58.14,99.0,9.18,0.689846,7.177777777777778,AM,91.56069364161853,96.01600321376014,31.161137440758303,85.63417304687664,81.2212923615593,False,,79.7056317052706,False,,77.87851614397538,False,,76.7592144463576,False,
John Keefer,42464053,8000,58.11,101.0,7.45,0.686615,7.26375,PM,93.4104046242775,97.1660400943584,19.31279620853081,85.0319100590781,80.0770211480809,False,,78.27301762386848,False,,76.10499019859763,False,,74.79928015783707,False,
Nick Taylor,42464054,8000,57.98,99.0,7.94,0.688,7.2475,PM,91.56069364161853,96.94866640287213,35.9004739336493,85.29007602568316,82.19132595839008,False,,80.83505024794778,False,,79.1290168261898,False,,78.09617150528341,False,
Tony Finau,42464069,7400,56.92,97.5,10.71,0.676615,7.691891891891892,AM,90.1734104046243,100.0,64.33649289099529,83.16789585976353,86.83667891717914,False,,86.41184711901332,False,,85.48205219664038,False,,84.97894749080612,False,
Thorbjorn Olesen,42464057,7800,56.75,99.5,8.65,0.662923,7.2756410256410255,AM,92.02312138728327,97.32510447215209,14.573459715639817,80.61568761806205,77.90068792047684,False,,76.1475697587886,False,,73.89316909147766,False,,72.58035920942405,False,
Stephan Jaeger,42464068,7400,56.64,98.5,9.3,0.667077,7.654054054054054,PM,91.09826589595379,100.0,45.37914691943129,81.38999911645732,83.60979584005723,False,,82.72363560973638,False,,81.27917535290923,False,,80.47800629468276,False,
Marco Penge,42464058,7800,56.31,98.5,8.98,0.665538,7.219230769230769,AM,91.09826589595379,96.5705133537777,35.9004739336493,81.10312733118279,81.0836754138638,False,,79.92749858323323,False,,78.3073001719248,False,,77.39375354046535,False,
Brian Harman,42464056,7900,55.91,97.5,5.9,0.664308,7.077215189873417,PM,90.1734104046243,94.67079330864124,16.943127962085313,80.87385358466712,76.98869675140547,False,,75.25676611912716,False,,73.11092729512963,False,,71.83536069279722,False,
