Name,DFS ID,Salary,Projection,Ownership
Chris Kirk,42464076,7200,49.312999999999995,5.24
Tony Finau,42464069,7400,53.6865,10.71
Matt Wallace,42464074,7300,50.19874999999999,6.35
Seonghyeon Kim,42464094,6900,51.49325,4.61
Rickie Fowler,42464045,8800,54.40725,21.61
Mac Meissner,42464073,7300,53.3845,6.64
Denny McCarthy,42464051,8200,53.583,14.52
Alex Smalley,42464063,7600,51.38225,6.89
J.J. Spaun,42464047,8600,53.935500000000005,11.94
Will Zalatoris,42464061,7600,53.88725,5.93
Stephan Jaeger,42464068,7400,52.375499999999995,9.3
Billy Horschel,42464101,6800,48.86775,5.07
Max McGreevy,42464070,7400,51.98725,4.75
Maverick McNealy,42464043,9000,55.131,20.44
Ryo Hisatsune,42464050,8300,55.9395,11.52
Mackenzie Hughes,42464084,7100,48.287,4.16
Andrew Novak,42464075,7300,53.711999999999996,5.34
Jordan L. Smith,42464059,7700,51.739999999999995,6.74
Keith Mitchell,42464048,8500,53.763,15.15
Sepp Straka,42464041,9200,56.309,14.95
Lee Hodges,42464093,6900,48.1905,3.96
Hideki Matsuyama,42464040,9300,55.538999999999994,25.36
Michael Thorbjornsen,42464044,8900,58.601499999999994,12.65
Patrick Rodgers,42464066,7500,52.53574999999999,4.61
Nick Taylor,42464054,8000,53.2985,7.94
Marco Penge,42464058,7800,55.266999999999996,8.98
Max Homa,42464086,7000,52.6475,4.76
Jordan Spieth,42464038,9500,52.8465,28.06
Sudarshan Yellamaraju,42464052,8100,56.2155,9.18
Joel Dahmen,42474773,6600,48.49175,2.15
Kristoffer Reitan,42464081,7100,46.80050000000001,3.08
Steven Fisk,42464106,6700,46.845749999999995,2.61
Eric Cole,42464091,6900,48.115249999999996,4.19
John Parry,42464079,7200,46.98625,2.89
Si Woo Kim,42464037,9600,60.013000000000005,19.31
Michael Kim,42464092,6900,50.437,2.74
John Keefer,42464053,8000,54.01825,7.45
Taylor Moore,42474776,6900,50.5315,3.16
Russell Henley,42464036,9800,55.155,22.3
Alex Noren,42464046,8700,57.164500000000004,10.64
Ludvig Aberg,42464034,10100,55.530750000000005,23.61
Robert MacIntyre,42464035,9900,57.813,19.89
Bronson Burgoon,42464115,6600,48.94200000000001,2.28
Tommy Fleetwood,42464033,10500,59.5995,22.1
Emiliano Grillo,42464108,6700,48.45775,1.81
Thorbjorn Olesen,42464057,7800,55.806250000000006,8.65
William Mouw,42464087,7000,50.632000000000005,3.52
Kevin Roy,42464096,6900,45.2265,1.74
Brian Harman,42464056,7900,52.172,5.9
Austin Eckroat,42464097,6800,48.95575,1.87
Jhonattan Vegas,42464113,6600,46.574999999999996,1.98
Matthew McCarty,42464071,7400,48.82800000000001,3.84
Doug Ghim,42464088,7000,49.807,2.38
Rico Hoey,42464065,7500,52.868750000000006,4.37
Chad Ramey,42464089,7000,47.83075,2.83
Kevin Yu,42464104,6700,46.1095,1.72
Davis Thompson,42464064,7500,54.02949999999999,4.66
Tom Kim,42464078,7200,50.604749999999996,4.23
Matt Kuchar,42464099,6800,50.5835,2.3
Seamus Power,42464095,6900,50.161249999999995,2.63
Hao-Tong Li,42464080,7100,49.084250000000004,3.71
Bud Cauley,42464077,7200,51.63075,3.87
