Name,DFS ID,Salary,Projection,Ownership
Christiaan Bezuidenhout,42464072,7300,58.073499999999996,11.37
Beau Hossler,42464098,6800,54.402750000000005,5.09
Austin Smotherman,42464085,7000,56.45575,5.87
Rickie Fowler,42464045,8800,63.606750000000005,21.61
Tony Finau,42464069,7400,59.94950000000001,10.71
Chris Kirk,42464076,7200,55.379,5.24
Vince Whaley,42464103,6700,54.93125,4.17
Denny McCarthy,42464051,8200,61.649,14.52
Maverick McNealy,42464043,9000,64.18499999999999,20.44
Matt Wallace,42464074,7300,56.38125,6.35
J.T. Poston,42464067,7400,57.838499999999996,5.92
J.J. Spaun,42464047,8600,61.77850000000001,11.94
Hideki Matsuyama,42464040,9300,65.565,25.36
Seonghyeon Kim,42464094,6900,56.39475,4.61
Mac Meissner,42464073,7300,58.597500000000004,6.64
Adrien Dumont De Chassart,42464082,7100,54.551750000000006,3.93
Sepp Straka,42464041,9200,64.781,14.95
Keith Mitchell,42464048,8500,61.967000000000006,15.15
Ryo Hisatsune,42464050,8300,62.56250000000001,11.52
Alex Smalley,42464063,7600,57.76975,6.89
Michael Thorbjornsen,42464044,8900,65.6585,12.65
Stephan Jaeger,42464068,7400,59.0045,9.3
Jordan Spieth,42464038,9500,64.4375,28.06
Will Zalatoris,42464061,7600,59.15675,5.93
Andrew Novak,42464075,7300,58.93,5.34
Si Woo Kim,42464037,9600,68.15299999999999,19.31
Nick Taylor,42464054,8000,59.9935,7.94
Jordan L. Smith,42464059,7700,58.162000000000006,6.74
Billy Horschel,42464101,6800,54.788250000000005,5.07
Andrew Putnam,42464102,6800,50.46750000000001,3.9
Russell Henley,42464036,9800,65.915,22.3
Max McGreevy,42464070,7400,56.94275,4.75
Ludvig Aberg,42464034,10100,66.61325,23.61
Sudarshan Yellamaraju,42464052,8100,61.98850000000001,9.18
Robert MacIntyre,42464035,9900,67.153,19.89
Marco Penge,42464058,7800,60.847,8.98
Mackenzie Hughes,42464084,7100,54.141000000000005,4.16
Lee Hodges,42464093,6900,54.00750000000001,3.96
Tommy Fleetwood,42464033,10500,69.5325,22.1
Patrick Rodgers,42464066,7500,57.60225,4.61
Max Homa,42464086,7000,57.65050000000001,4.76
John Keefer,42464053,8000,60.70175,7.45
Alex Noren,42464046,8700,63.789500000000004,10.64
Zecheng Dou,42464083,7100,52.26525,3.13
Steven Fisk,42464106,6700,52.42425000000001,2.61
Eric Cole,42464091,6900,53.866749999999996,4.19
Thorbjorn Olesen,42464057,7800,61.41375,8.65
Kristoffer Reitan,42464081,7100,52.3735,3.08
Joel Dahmen,42474773,6600,52.868249999999996,2.15
Michael Kim,42464092,6900,55.125,2.74
Taylor Moore,42474776,6900,55.2385,3.16
John Parry,42464079,7200,52.585750000000004,2.89
Brian Harman,42464056,7900,58.558,5.9
Bronson Burgoon,42464115,6600,53.362,2.28
William Mouw,42464087,7000,55.324,3.52
Matthew McCarty,42464071,7400,54.74400000000001,3.84
Emiliano Grillo,42464108,6700,52.800250000000005,1.81
Jhonattan Vegas,42464113,6600,52.079,1.98
Austin Eckroat,42464097,6800,53.38025,1.87
Kevin Roy,42464096,6900,50.545500000000004,1.74
Davis Thompson,42464064,7500,59.2305,4.66
Rico Hoey,42464065,7500,57.85725,4.37
Doug Ghim,42464088,7000,54.327,2.38
Tom Kim,42464078,7200,56.67925,4.23
Chad Ramey,42464089,7000,53.54525,2.83
Kevin Yu,42464104,6700,51.55650000000001,1.72
Matt Kuchar,42464099,6800,55.23650000000001,2.3
Hao-Tong Li,42464080,7100,54.91375,3.71
Seamus Power,42464095,6900,54.71275,2.63
Bud Cauley,42464077,7200,56.437250000000006,3.87
