DFS ID,Name,Pos,Order,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,1B,2B,3B,HR,SB,CS,R,RBI,K,BB,PA,H,ER,IP,W,QS,CG,CGSO,Pitches
43292076,Chase Burns,P,,CIN,NYM,Confirmed,11000,0,19.29,,19.29,1.7536363636363634,31.74,34.48712379424013,0,100,4.6634,8.966000000000001,19.2866,11.9,19.65,27.25,31.1,36.8,42.2005,33.9552,23,34,45,52,60,68,21.4709,13.2,21.8,30.4,34.5,40.6,46.4,29.489,19,30,40.5,46,54,62,10.9268,15.9216,12.0877,15.4325,2.71672,0.85876,0.12876,0.75496,0,0,2.48876,0,6.95544,2.26544,23.2761,4.4592,2.29584,5.627,0.33072,0.27776,0.00472,0.0024,93.2518
43292078,Shota Imanaga,P,,CHC,COL,Confirmed,8500,0,17.55,,17.55,2.064705882352941,35.19,39.12387753555255,0,100,5.7586,9.8432,17.5542,10.3875,18.1,25.25,28.5,33.9025,39.601,31.2756,20,32,42,48,55,63.01,19.9276,11.9,20.6,28.5,32.2,38.105,43.506,26.7219,16.5,27.5,37.5,42.5,49.5,57.5,10.5848,15.4707,11.7101,14.9171,3.24704,0.93364,0.20584,0.73856,0,0,2.51784,0,5.64624,1.379,23.5985,5.1250800000000005,2.32716,5.80719,0.4304,0.3286,0.00772,0.00424,94.0486
43292081,MacKenzie Gore,P,,TEX,MIN,Confirmed,7800,0,17.51,,17.51,2.244871794871795,34.46,38.70305689661149,0,100,4.5866,8.624600000000001,17.5133,9.9,17.5,25.1125,28.75,33.95,39.6505,30.9453,20,30,42,48,56,64,19.6343,11.075,19.7,28.325,32.3,37.6,44.4,26.8045,16,27,37.5,42.5,50,58.5,10.5426,15.2902,11.7081,14.8979,2.80327,0.853,0.152733,0.578933,0,0,2.2812,0,6.05687,2.03407,22.2767,4.387936,2.1088,5.40511,0.325667,0.232933,0.0018,0.000666667,92.1016
43292084,Dustin May,P,,STL,SD,Confirmed,7300,0,15.16,,15.16,2.0767123287671234,29.5,33.1144495742474,0,100,4.7374,8.9658,15.1641,7.9,15.6,22.7,26.15,31.5,37,28.3122,17,29,40,45,52,60,17.3792,9.3,17.9,25.7,29.6,35.5,41.2,23.3457,13,24,34,39,46,53.5,10.4597,15.2136,11.6038,14.6403,3.6248,1.00148,0.15192,0.5472,0,0,2.58256,0,4.75048,1.851,24.4239,5.325399999999999,2.38516,5.89549,0.3552,0.34964,0.01396,0.00676,91.4686
43292549,Kai-Wei Teng,P,,HOU,DET,Confirmed,7000,0,13.68,,13.68,1.9542857142857144,19.66,20.787215610114263,0,100,4.6314,9.278400000000001,13.6822,6.8,13.65,20.9625,24.5,29.9025,35.751,25.4383,15,25,36,41,49,58,15.3402,7.7,15.6,23.5,27.4,33.4,39.605,21.4196,11.5,21.5,32,36.5,44.5,52.5,10.156,14.4099,11.3028,14.3202,2.89848,0.78668,0.1014,0.60572,0,0,2.59056,0,5.21256,2.53244,21.5123,4.39228,2.397,4.98539,0.24628,0.13944,0.00084,0.00048,85.8473
43292087,Ryne Nelson,P,,ARI,LAA,Confirmed,6500,0,13.21,,13.21,2.032307692307693,19.96,21.276619063581204,0,100,4.9164,9.5328,13.2071,6,13.3,20.9125,24.35,29.7025,35.551,25.3076,15,25,36,42,50,58,15.0831,6.9,15.4,23.7,27.515,33.5,39.5,20.6814,10.5,21,31.5,36.5,44,51.5,10.4337,15.0712,11.6334,14.6743,3.30208,1.16588,0.41716,0.64144,0,0,2.93512,0,4.78708,1.79648,23.254,5.52656,2.71164,5.44879,0.29416,0.24248,0.00368,0.00176,91.5778
43292085,Jared Jones,P,,PIT,ATH,Confirmed,7000,0,11.4,,11.4,1.6285714285714286,7.3,6.3506201302207055,0,100,5.2594,10.499600000000001,11.3993,4.6375,11.6,19,22.75,28.2025,33.35,22.1609,12,22,33,38,46,55,12.9544,5.5,13.4,21.5,25.5,31.5,37.4,18.0971,8.5,18.5,29,34,41.5,49,10.2544,14.4317,11.4303,14.4348,2.95592,1.07364,0.11032,0.84624,0,0,3.04092,0,4.59036,2.142,21.5378,4.98612,2.80912,4.92935,0.2548,0.12508,0.0012,0.0002,82.357
43292082,J.T. Ginn,P,,ATH,PIT,Confirmed,7700,0,11.34,,11.34,1.4727272727272727,5.39,4.379357499662136,0,100,5.2402,10.499600000000001,11.3384,4.2875,11.5,18.8,22.5,28,33.4505,22.4722,12,22,33,39,47,55,12.8615,5,12.9,21.325,25.115,31.5,37.4,18.1193,8,18,28.5,34,41.5,49.5,10.3685,14.7038,11.5471,14.6122,3.34136,1.09404,0.15032,0.67092,0,0,2.9812,0,4.49712,2.25996,22.2095,5.256639999999999,2.75948,5.04224,0.25612,0.14896,0.00104,0.0004,88.4318
43292092,Shohei Ohtani,1B/OF,1,LAD,TB,Confirmed,6500,0,11.16,,11.16,1.716923076923077,21.62,28.26396686720087,0,100,5.3588,9.7982,11.1617,4,9,17,21,28,37,14.806,6,12.2,21.7,27.9,37.7,50.4,11.193,4.5,9,16.8,20.6,28.4,37.4,12.1225,3.5,9,19,23.5,33,44.005,8.96454,12.0964,8.92766,10.7933,0.5954,0.20108,0.05452,0.29764,0.13216,0.02428,0.8194,0.69804,0.86332,0.63092,4.5206,1.14864,0,0,0,0,0,0,0
43292079,Walbert Urena,P,,LAA,ARI,Confirmed,8300,0,11.08,,11.08,1.3349397590361445,2.05,1.3583057645285088,0,100,4.6164,9.5328,11.0841,4.25,11.1,18.1,21.9,26.9025,33.0005,21.9814,12,21,32,37,46,55,12.6039,4.9,12.7,20.6,24.6,30.4,36.7,17.7022,8,17.5,27.5,33,40,49,10.0833,14.2855,11.2485,14.1888,2.7558,0.91136,0.37884,0.47064,0,0,2.80504,0,4.22544,2.87732,21.9579,4.516640000000001,2.5858,4.99327,0.24984,0.14592,0.00232,0.00048,87.0745
