DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
43295351,A'ja Wilson,F/UTIL,LAV,DAL,,12600,0,49.53,,49.53,3.930952380952381,40.47,28.681799196738847,0,100,92.8334,183.8408,49.5342,43.1875,49.25,55.75,59.25,65.75,73,49.0637,42.4,48.8,55.5,59,65.605,73,49.0637,42.4,48.8,55.5,59,65.605,73,49.8074,43.3,49.6,56.1,59.5,65.805,73.301,9.54839,9.75921,9.75921,9.52589,29.731,34.2472,9.92914,1.00814,8.55043,1.32314,7.22729,3.13557,1.26457,1.109,2.75186
43295361,Jackie Young,G/UTIL,LAV,DAL,,10700,0,37.14,,37.14,3.4710280373831774,23.66,20.599990267365705,0,100,92.8334,183.8408,37.1413,31,36.75,43,46.25,52,58.5,35.9316,30,35.7,41.5,44.8,50.3,56.6,35.9316,30,35.7,41.5,44.8,50.3,56.6,36.4363,30.7,36.2,41.8,45.1,50.5,56.6,8.67834,8.47222,8.47222,8.24064,16.8224,33.9999,4.88729,1.95186,5.13057,0.656714,4.47386,7.25243,1.10143,0.293429,2.11071
43295355,Jessica Shepard,F/UTIL,DAL,LAV,,11500,0,35.56,,35.56,3.0921739130434784,18.48,17.271477125734766,0,100,91.0074,183.8408,35.5556,28.75,35,41.75,45.25,51.5,59.5,34.1578,28,33.9,40,43.1,49,56.5,34.1578,28,33.9,40,43.1,49,56.5,34.6444,28.6,34.35,40.4,43.5,49.1,56.7,9.31448,8.72973,8.72973,8.57773,12.6563,30.4523,5.01386,0.0985714,9.51214,1.95086,7.56129,6.40586,0.667857,0.0385714,1.64114
43295365,Olivia Miles,G/UTIL,MIN,POR,,10500,0,35.27,,35.27,3.3590476190476193,20.44,18.447132395687195,0,100,93.4953,175.0024,35.2652,29.25,35,41,44.25,50.25,56.5,34.8872,28.6,34.6,40.7,44.1,50.1,57.101,34.8872,28.6,34.6,40.7,44.1,50.1,57.101,35.5788,29.6,35.3,41.2,44.5,50.3,56.901,8.61068,8.86207,8.86207,8.58096,17.057,30.2632,5.02929,0.846143,4.79671,0.389143,4.40757,6.19314,1.45129,0.421714,2.83457
43295353,Kelsey Plum,G/UTIL,LAS,GSV,,11600,0,35.12,,35.12,3.027586206896552,11.57,11.615232254491028,0,100,89.1013,177.2946,35.1189,29.25,34.75,40.75,44,50.25,57.25,33.1918,27.3,32.8,38.8,42,47.8,54.301,33.1918,27.3,32.8,38.8,42,47.8,54.301,34.1157,28.4,33.7,39.6,42.8,48.4,54.901,8.70398,8.552,8.552,8.32548,21.8037,32.0701,4.86843,2.58086,2.842,0.207286,2.63471,5.29057,0.828,0.0778571,2.67571
43295369,Natasha Howard,F/UTIL,MIN,POR,,10300,0,34.62,,34.62,3.3611650485436892,26.53,22.978888445489737,0,100,93.4953,175.0024,34.6214,28.5,34.25,40.25,43.5,49.5,55.5025,33.8358,27.7,33.6,39.7,43,48.905,55.101,33.8358,27.7,33.6,39.7,43,48.905,55.101,35.0223,29,34.7,40.7,44,49.7,55.702,8.59452,8.85822,8.85822,8.58632,17.8964,29.2238,7.63014,0.112571,7.41429,2.64043,4.77386,3.54071,1.27743,0.516429,3.65043
43295357,Paige Bueckers,G/UTIL,DAL,LAV,,11200,0,34.43,,34.43,3.0741071428571427,13.72,13.370796115538838,0,100,91.0074,183.8408,34.4297,28.25,34,40.25,43.5,49.5,57.25,33.4358,27.375,33.2,39.3,42.5,48.5,55.901,33.4358,27.375,33.2,39.3,42.5,48.5,55.901,33.9845,27.9,33.65,39.6,42.9,48.7,55.801,8.84787,8.83058,8.83058,8.62404,19.6577,32.5039,5.25214,1.76443,3.54371,0.329286,3.21443,5.41529,0.829,0.280714,1.92643
43295371,Veronica Burton,G/UTIL,GSV,LAS,,10000,0,33.27,,33.27,3.327,22.71,20.60267924538521,0,100,88.1933,177.2946,33.2653,27,32.75,39,42.75,49,56,33.7583,27.2,33.3,39.8,43.6,49.8,57.1,33.7583,27.2,33.3,39.8,43.6,49.8,57.1,33.8825,27.6,33.4,39.8,43.3,49.505,56.5,9.02747,9.3514,9.3514,9.07664,14.7993,29.7917,2.908,1.669,3.25271,0.655143,2.59757,6.23371,1.43829,1.02571,1.68686
43295373,Courtney Williams,G/UTIL,MIN,POR,,9900,0,33.2,,33.2,3.353535353535354,23.76,21.156261347604786,0,100,93.4953,175.0024,33.2011,27.25,32.75,38.75,42.25,48.25,54.75,32.9961,26.8,32.6,38.6,42.1,48.1,55.2,32.9961,26.8,32.6,38.6,42.1,48.1,55.2,33.1048,27.1,32.7,38.6,41.9,47.805,54.601,8.63308,8.77929,8.77929,8.50438,16.3319,30.2251,5.299,1.71943,5.21429,0.368,4.84629,4.39414,1.49529,0.347571,1.71271
43295375,Chelsea Gray,G/UTIL,LAV,DAL,,9700,0,31.98,,31.98,3.2969072164948456,20.59,19.00088030481809,0,100,92.8334,183.8408,31.9764,25.75,31.5,37.5,41,46.7625,53.2525,30.0589,24.1,29.8,35.6,39,44.5,50.803,30.0589,24.1,29.8,35.6,39,44.5,50.803,31.3772,25.7,31.1,36.7,40,45.3,51.3,8.58598,8.46033,8.46033,8.14553,12.4509,34.1542,2.76543,2.08214,4.215,0.242429,3.97257,7.87814,1.05643,0.418857,3.693
43295359,Nneka Ogwumike,F/UTIL,LAS,GSV,,11100,0,31.17,,31.17,2.808108108108108,9.37,9.679195727861835,0,100,89.1013,177.2946,31.1712,25,30.75,37,40.25,46,53.2525,30.2673,24.3,29.9,35.8,39.1,44.8,51.403,30.2673,24.3,29.9,35.8,39.1,44.8,51.403,30.647,24.9,30.2,36.1,39.3,44.9,51.402,8.64904,8.47615,8.47615,8.26935,14.8061,31.1028,4.28129,1.23271,8.48357,0.937143,7.54643,1.81914,0.887143,0.512429,1.64657
43295377,Gabby Williams,F/UTIL,GSV,LAS,,9500,0,30.27,,30.27,3.186315789473684,20.64,19.278957617531404,0,100,88.1933,177.2946,30.2747,24,29.75,35.75,39.25,45.25,52.5,30.6222,24.2,30.1,36.5,40.1,46.6,53.501,30.6222,24.2,30.1,36.5,40.1,46.6,53.501,30.4876,24.3,30.1,36.1,39.5,45.705,52.6,8.70148,9.13115,9.13115,8.71104,15.2437,28.5564,3.04457,2.15286,4.12457,0.621286,3.50329,3.02343,2.18986,0.415,1.92071
43295363,Dearica Hamby,F/UTIL,LAS,GSV,,10600,0,29.49,,29.49,2.782075471698113,6.98,7.451756757050718,0,100,89.1013,177.2946,29.4935,23.5,29,34.75,38.5,44.75,51.25,28.8899,22.9,28.3,34.3,37.7,43.9,50.901,28.8899,22.9,28.3,34.3,37.7,43.9,50.901,29.4054,23.6,28.9,34.7,38,44.1,50.8,8.53277,8.56287,8.56287,8.35094,14.3481,27.7137,4.56757,0.410286,7.55186,1.49386,6.058,2.47129,0.875143,0.351143,1.90629
43295383,Carla Leite,G/UTIL,POR,MIN,,8300,0,26.79,,26.79,3.227710843373494,16.23,15.701043156137448,0,100,81.5071,175.0024,26.7919,21,26.25,32,35.2875,41.5,48.7525,25.7188,19.7,25.2,31.1,34.5,40.8,47.9,25.7188,19.7,25.2,31.1,34.5,40.8,47.9,26.8222,21,26.4,32,35.4,41.3,48.101,8.37424,8.54931,8.54931,8.31485,16.1421,25.8017,4.30171,0.564,2.04743,0.334143,1.71329,5.02271,0.789286,0.0712857,2.996
43295381,Kayla McBride,G/UTIL,MIN,POR,,8500,0,25.96,,25.96,3.0541176470588236,13.49,13.296879824858669,0,100,93.4953,175.0024,25.9615,20.5,25.5,31,34.25,39.75,46.25,26.0242,20.2,25.6,31.3,34.6,40.2,47.1,26.0242,20.2,25.6,31.3,34.6,40.2,47.1,25.935,20.4,25.4,31,34.1,39.3,46.301,7.93906,8.20297,8.20297,7.86086,14.4464,31.0926,3.05986,1.79343,3.68929,0.45,3.23929,1.98129,1.62386,0.250857,1.44543
43295379,Arike Ogunbowale,G/UTIL,DAL,LAV,,8700,0,25.82,,25.82,2.9678160919540226,8.59,8.905958312042342,0,100,91.0074,183.8408,25.8239,20.5,25.5,30.75,34,39.75,45.25,24.9048,19.5,24.6,29.9,33.2,38.8,44.4,24.9048,19.5,24.6,29.9,33.2,38.8,44.4,25.2955,20.1,24.9,30.1,33.3,38.7,44.2,7.89655,7.89637,7.89637,7.6463,15.3186,29.7442,3.03629,2.03443,2.62771,0.329571,2.29814,3.23329,0.981,0.134143,1.76243
